genus,abundance,maturity,species
Kineococcus,0.00164506973109318,Mature,Warbler
Kineosporia,6.5205022368832e-4,Immature,Warbler
Kineosporia,NA,Mature,Warbler
Kocuria,0.00678600242953281,Immature,Warbler
Kocuria,0.00578216240630121,Mature,Warbler
Lachnoclostridium,0.00456677992123887,Immature,Warbler
Lachnoclostridium,0.00475777894217965,Mature,Warbler
Lachnospiraceae UCG-007,7.204121081039e-4,Immature,Warbler
Lachnospiraceae UCG-007,0.00155331372681878,Mature,Warbler
Lactobacillus,0.0203117213625517,Immature,Warbler
Lactobacillus,0.00904125385748707,Mature,Warbler
Lactococcus,0.105383266600164,Immature,Warbler
Lactococcus,0.115939409623897,Mature,Warbler
Leifsonia,8.6044727069039e-4,Immature,Warbler
Leifsonia,0.00214939901095648,Mature,Warbler
Leucobacter,7.0834391752892e-4,Immature,Warbler
Leucobacter,8.6472363343549e-4,Mature,Warbler
Lysobacter,0.00120630395180259,Immature,Warbler
Lysobacter,6.8997812211036e-4,Mature,Warbler
Marmoricola,0.00152051842591941,Immature,Warbler
Marmoricola,0.00182956797057964,Mature,Warbler
Methylobacterium,0.0145772704166558,Immature,Warbler
Methylobacterium,0.0132474374889391,Mature,Warbler
Microbacterium,0.00575431930842792,Immature,Warbler
Microbacterium,0.006609646690072,Mature,Warbler
Microlunatus,9.6207026571506e-4,Immature,Warbler
